root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLzma;unlimitedWindowSize;disableCompressibilityTesting;level;processorCount;maxRam;energy;performance
1;1;0;0;0;0;0;0;0;0;5;4;18;0.043008;0.007393
1;1;0;0;0;0;0;0;0;0;6;4;18;0.036298;0.044987
1;1;0;0;0;0;0;0;0;0;7;4;18;0.026817;0.014037
1;1;0;0;0;0;0;0;0;0;8;4;18;0.026669;0.032235
1;1;0;0;0;0;0;0;0;0;9;4;18;0.010958;0.006127
1;1;0;0;0;0;0;0;1;0;1;1;2;0.054716;0.034946
1;1;0;0;0;0;0;0;1;0;2;1;2;0.018073;0.018589
1;1;0;0;0;0;0;0;1;0;3;1;2;0.029423;0.044304
1;1;0;0;0;0;0;0;1;0;4;1;2;0.036963;0.014819
1;1;0;0;0;0;0;0;1;0;5;1;2;0.037990;0.043527
1;1;0;0;0;0;0;0;1;0;6;1;2;0.041943;0.013062
1;1;0;0;0;0;0;0;1;0;7;1;2;0.047655;0.002559
1;1;0;0;0;0;0;0;1;0;8;1;2;0.041610;0.070622
1;1;0;0;0;0;0;0;1;0;9;1;2;0.047114;0.011399
1;1;0;0;0;0;0;0;1;0;1;2;2;0.024035;0.024877
1;1;0;0;0;0;0;0;1;0;2;2;2;0.040348;0.011275
1;1;0;0;0;0;0;0;1;0;3;2;2;0.028222;0.014803
1;1;0;0;0;0;0;0;1;0;4;2;2;0.079652;0.052348
1;1;0;0;0;0;0;0;1;0;5;2;2;0.033959;0.046781
1;1;0;0;0;0;0;0;1;0;6;2;2;0.034033;0.021942
1;1;0;0;0;0;0;0;1;0;7;2;2;0.035432;0.011033
1;1;0;0;0;0;0;0;1;0;8;2;2;0.036187;0.042350
1;1;0;0;0;0;0;0;1;0;9;2;2;0.030800;0.007205
1;1;0;0;0;0;0;0;1;0;1;3;2;0.015541;0.015317
1;1;0;0;0;0;0;0;1;0;2;3;2;0.029676;0.013412
1;1;0;0;0;0;0;0;1;0;3;3;2;0.019461;0.007367
1;1;0;0;0;0;0;0;1;0;4;3;2;0.050954;0.044290
1;1;0;0;0;0;0;0;1;0;5;3;2;0.033387;0.023693
1;1;0;0;0;0;0;0;1;0;6;3;2;0.043831;0.010867
1;1;0;0;0;0;0;0;1;0;7;3;2;0.032067;0.009897
1;1;0;0;0;0;0;0;1;0;8;3;2;0.026526;0.015343
1;1;0;0;0;0;0;0;1;0;9;3;2;0.022667;0.010777
1;1;0;0;0;0;0;0;1;0;1;4;2;0.051179;0.015411
1;1;0;0;0;0;0;0;1;0;2;4;2;0.038817;0.012963
1;1;0;0;0;0;0;0;1;0;3;4;2;0.020586;0.011920
1;1;0;0;0;0;0;0;1;0;4;4;2;0.040606;0.017135
1;1;0;0;0;0;0;0;1;0;5;4;2;0.038833;0.032951
1;1;0;0;0;0;0;0;1;0;6;4;2;0.009601;0.020806
1;1;0;0;0;0;0;0;1;0;7;4;2;0.046228;0.009565
1;1;0;0;0;0;0;0;1;0;8;4;2;0.029072;0.024260
1;1;0;0;0;0;0;0;1;0;9;4;2;0.047202;0.017198
1;1;0;0;0;0;0;0;1;0;1;1;6;0.055224;0.015516
1;1;0;0;0;0;0;0;1;0;2;1;6;0.041414;0.012678
1;1;0;0;0;0;0;0;1;0;3;1;6;0.053299;0.016555
1;1;0;0;0;0;0;0;1;0;4;1;6;0.040369;0.021006
1;1;0;0;0;0;0;0;1;0;5;1;6;0.025843;0.034434
1;1;0;0;0;0;0;0;1;0;6;1;6;0.058683;0.007278
1;1;0;0;0;0;0;0;1;0;7;1;6;0.066767;0.032935
1;1;0;0;0;0;0;0;1;0;8;1;6;0.061442;0.014842
1;1;0;0;0;0;0;0;1;0;9;1;6;0.061577;0.019230
1;1;0;0;0;0;0;0;1;0;1;2;6;0.042400;0.009494
1;1;0;0;0;0;0;0;1;0;2;2;6;0.038294;0.015198
1;1;0;0;0;0;0;0;1;0;3;2;6;0.016352;0.003635
1;1;0;0;0;0;0;0;1;0;4;2;6;0.056673;0.020029
1;1;0;0;0;0;0;0;1;0;5;2;6;0.044257;0.011964
