root,asm,wpp,rdoLevel,rdoBasic,rdoSplits,rdoChroma,rdoPrediction,rect,amp,bitdepth,8bit,10bit,me,meDia,meHex,meUmh,meStar,frameThreads,frameThreads_1,frameThreads_2,frameThreads_4,frameThreads_8,ref,ref_1,ref_3,ref_6,workload,median-time,mean-time,std-time,mean-compression-ratio,std-compression-ratio,id
1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,8.03,8.036,0.047749,0.001058,0.0,296
1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,4.21,4.218,0.027749,0.001075,0.0,282
1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,10.7,10.688,0.057619,0.001053,0.0,269
1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,10.73,10.702,0.072595,0.001053,0.0,255
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,akiyo_cif.y4m,8.31,8.316,0.008944,0.001078,0.0,241
1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,16.59,16.588,0.014832,0.001053,0.0,257
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,14.09,14.1,0.018708,0.001078,0.0,243
1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,akiyo_cif.y4m,9.58,9.61,0.047958,0.001058,0.0,294
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,akiyo_cif.y4m,3.2,3.206,0.019494,0.001115,0.0,280
1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,akiyo_cif.y4m,6.03,6.038,0.031145,0.001095,0.0,121
1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,akiyo_cif.y4m,1.76,1.762,0.008367,0.001306,0.0,135
1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,akiyo_cif.y4m,9.47,9.448,0.044385,0.001046,0.0,109
