OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,config,workload,throughput
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,ycsb-600,22889.5451384482
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,smallbank-10,15111.1623844651
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,tpcc-2,767.453673125972
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,42,ycsb-2400,16707.9258110097
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,smallbank-1,25163.940419695
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,tpcc-8,997.771436837974
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,ycsb-600,26399.5416412734
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,voter-2,47482.5332106701
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,voter-16,46637.8832175159
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,ycsb-2400,17605.7149666812
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,smallbank-10,18037.6863572576
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,43,tpcc-2,870.391541636544
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,voter-16,29249.2833289459
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,voter-2,28816.2999361239
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,ycsb-600,22246.0993843782
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,tpcc-8,623.342789523838
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,smallbank-1,20116.8280672139
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,tpcc-2,745.095522721004
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,smallbank-10,12643.869550369
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,44,ycsb-2400,14130.1508920338
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,ycsb-600,24354.7227072859
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,tpcc-8,634.343804543792
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,smallbank-1,21422.0333066869
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,voter-16,32053.5499000998
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,voter-2,29750.4665932822
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,ycsb-2400,15113.1701004943
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,tpcc-2,761.512190003031
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,45,smallbank-10,13349.0446512617
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,tpcc-2,765.531504555122
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,smallbank-10,12944.764150607
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,ycsb-2400,15381.7979108955
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,voter-16,29731.299954412
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,voter-2,28886.7999754462
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,ycsb-600,22617.9325458525
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,smallbank-1,21329.4486863233
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46,tpcc-8,617.559743564625
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,ycsb-2400,17542.0328962068
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,tpcc-2,902.480040063337
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,smallbank-10,18651.4113568278
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,ycsb-600,25153.4688573863
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,smallbank-1,25839.6895436728
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,tpcc-8,497.493964253977
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,voter-16,47412.0331326224
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,47,voter-2,46982.0998731483
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,smallbank-1,19343.7249002015
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,tpcc-8,601.848898636577
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,ycsb-600,22229.1479148014
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,voter-2,28732.6896881283
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,voter-16,29683.933250713
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,ycsb-2400,14879.5754792578
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,smallbank-10,12450.9225915766
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,tpcc-2,706.139948450904
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,voter-2,48650.7498881033
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,voter-16,47549.7332865761
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,smallbank-1,26045.987968455
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,tpcc-8,517.87729615286
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,ycsb-600,27418.9976188338
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,smallbank-10,19022.6676559865
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,tpcc-2,926.776042803254
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,49,ycsb-2400,20389.1738155433
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,ycsb-2400,13842.8177147128
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,smallbank-10,12705.0906587735
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,tpcc-2,711.942604577538
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,tpcc-8,606.741856725406
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,smallbank-1,18787.1089222449
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,ycsb-600,22071.8268660647
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,voter-2,30110.5665748294
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,50,voter-16,28869.5999966319
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51,smallbank-10,12851.6025421294
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51,tpcc-2,767.379410349101
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51,ycsb-2400,14395.9862296664
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51,voter-2,30039.9832712507
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,51,voter-16,29894.4999152989
