root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers;tempBuffers;workMem;revision;performance;energy
1;0;1;0;0;0;64;32;4096;8.3.0;46336.200000;1469.200000
1;0;1;0;0;0;128;32;4096;8.3.0;46197.800000;1475.200000
1;0;1;0;0;0;256;32;4096;8.3.0;46039.000000;1462.200000
1;0;1;0;0;1;64;2;256;8.3.0;46143.200000;1477.800000
1;0;1;0;0;1;128;2;256;8.3.0;47040.200000;1535.600000
1;0;1;0;0;1;256;2;256;8.3.0;46288.600000;1485.400000
1;0;1;0;0;1;64;8;256;8.3.0;46237.600000;1483.600000
1;0;1;0;0;1;128;8;256;8.3.0;46673.200000;1496.800000
1;0;1;0;0;1;256;8;256;8.3.0;46192.000000;1469.200000
1;0;1;0;0;1;64;32;256;8.3.0;46155.200000;1505.800000
1;0;1;0;0;1;128;32;256;8.3.0;46355.200000;1499.400000
1;0;1;0;0;1;256;32;256;8.3.0;46163.400000;1455.800000
1;0;1;0;0;1;64;2;1024;8.3.0;46267.800000;1468.000000
1;0;1;0;0;1;128;2;1024;8.3.0;46099.400000;1488.200000
1;0;1;0;0;1;256;2;1024;8.3.0;46142.200000;1491.000000
1;0;1;0;0;1;64;8;1024;8.3.0;46054.600000;1471.200000
1;0;1;0;0;1;128;8;1024;8.3.0;46124.200000;1466.400000
1;0;1;0;0;1;256;8;1024;8.3.0;46358.200000;1501.800000
1;0;1;0;0;1;64;32;1024;8.3.0;46172.800000;1471.800000
1;0;1;0;0;1;128;32;1024;8.3.0;46405.000000;1485.000000
1;0;1;0;0;1;256;32;1024;8.3.0;46191.200000;1453.600000
1;0;1;0;0;1;64;2;4096;8.3.0;46135.000000;1504.200000
1;0;1;0;0;1;128;2;4096;8.3.0;46277.600000;1477.000000
1;0;1;0;0;1;256;2;4096;8.3.0;46310.800000;1507.400000
1;0;1;0;0;1;64;8;4096;8.3.0;46203.200000;1467.400000
1;0;1;0;0;1;128;8;4096;8.3.0;46303.000000;1496.600000
1;0;1;0;0;1;256;8;4096;8.3.0;46133.400000;1477.400000
1;0;1;0;0;1;64;32;4096;8.3.0;46295.600000;1494.400000
1;0;1;0;0;1;128;32;4096;8.3.0;46213.600000;1462.800000
1;0;1;0;0;1;256;32;4096;8.3.0;46104.200000;1482.200000
1;0;1;0;1;0;64;2;256;8.3.0;46355.400000;1475.600000
1;0;1;0;1;0;128;2;256;8.3.0;46584.800000;1509.800000
1;0;1;0;1;0;256;2;256;8.3.0;46594.400000;1464.200000
1;0;1;0;1;0;64;8;256;8.3.0;46431.000000;1500.000000
1;0;1;0;1;0;128;8;256;8.3.0;46439.600000;1466.200000
1;0;1;0;1;0;256;8;256;8.3.0;46658.800000;1495.600000
1;0;1;0;1;0;64;32;256;8.3.0;46886.000000;1498.800000
1;0;1;0;1;0;128;32;256;8.3.0;47359.000000;1566.400000
1;0;1;0;1;0;256;32;256;8.3.0;46333.000000;1478.800000
1;0;1;0;1;0;64;2;1024;8.3.0;46447.600000;1481.200000
1;0;1;0;1;0;128;2;1024;8.3.0;46599.400000;1508.400000
1;0;1;0;1;0;256;2;1024;8.3.0;46350.200000;1490.200000
1;0;1;0;1;0;64;8;1024;8.3.0;46348.800000;1475.000000
1;0;1;0;1;0;128;8;1024;8.3.0;46356.000000;1488.200000
1;0;1;0;1;0;256;8;1024;8.3.0;46598.600000;1491.400000
1;0;1;0;1;0;64;32;1024;8.3.0;47346.800000;1509.200000
1;0;1;0;1;0;128;32;1024;8.3.0;47239.800000;1540.000000
1;0;1;0;1;0;256;32;1024;8.3.0;47549.400000;1588.400000
1;0;1;0;1;0;64;2;4096;8.3.0;46433.000000;1488.800000
1;0;1;0;1;0;128;2;4096;8.3.0;46394.400000;1491.200000
1;0;1;0;1;0;256;2;4096;8.3.0;47670.800000;1571.400000
1;0;1;0;1;0;64;8;4096;8.3.0;46203.000000;1483.200000
1;0;1;0;1;0;128;8;4096;8.3.0;46586.400000;1484.400000
1;0;1;0;1;0;256;8;4096;8.3.0;46431.000000;1475.600000
1;0;1;0;1;0;64;32;4096;8.3.0;46404.000000;1473.800000
1;0;1;0;1;0;128;32;4096;8.3.0;46190.000000;1505.200000
1;0;1;0;1;0;256;32;4096;8.3.0;46756.000000;1494.400000
1;0;1;0;1;1;64;2;256;8.3.0;46400.600000;1483.200000
1;0;1;0;1;1;128;2;256;8.3.0;46367.000000;1478.200000
1;0;1;0;1;1;256;2;256;8.3.0;46319.000000;1514.200000
1;0;1;0;1;1;64;8;256;8.3.0;46752.400000;1501.600000
1;0;1;0;1;1;128;8;256;8.3.0;47454.800000;1524.000000
1;0;1;0;1;1;256;8;256;8.3.0;46453.000000;1479.000000
1;0;1;0;1;1;64;32;256;8.3.0;46402.400000;1461.200000
1;0;1;0;1;1;128;32;256;8.3.0;46423.200000;1494.000000
1;0;1;0;1;1;256;32;256;8.3.0;46634.400000;1505.400000
1;0;1;0;1;1;64;2;1024;8.3.0;46520.600000;1479.600000
1;0;1;0;1;1;128;2;1024;8.3.0;46445.400000;1484.600000
1;0;1;0;1;1;256;2;1024;8.3.0;46417.000000;1500.400000
1;0;1;0;1;1;64;8;1024;8.3.0;47491.400000;1544.600000
1;0;1;0;1;1;128;8;1024;8.3.0;47354.400000;1541.800000
1;0;1;0;1;1;256;8;1024;8.3.0;46605.000000;1506.400000
1;0;1;0;1;1;64;32;1024;8.3.0;46378.600000;1477.800000
1;0;1;0;1;1;128;32;1024;8.3.0;46648.600000;1497.200000
1;0;1;0;1;1;256;32;1024;8.3.0;46390.000000;1507.200000
1;0;1;0;1;1;64;2;4096;8.3.0;46521.200000;1503.800000
1;0;1;0;1;1;128;2;4096;8.3.0;46322.400000;1485.000000
1;0;1;0;1;1;256;2;4096;8.3.0;46615.000000;1491.800000
1;0;1;0;1;1;64;8;4096;8.3.0;46329.000000;1494.800000
1;0;1;0;1;1;128;8;4096;8.3.0;46535.600000;1492.400000
1;0;1;0;1;1;256;8;4096;8.3.0;46447.600000;1518.000000
1;0;1;0;1;1;64;32;4096;8.3.0;46490.600000;1526.200000
1;0;1;0;1;1;128;32;4096;8.3.0;46394.000000;1474.200000
1;0;1;0;1;1;256;32;4096;8.3.0;47368.000000;1571.000000
1;0;1;1;0;0;64;2;256;8.3.0;46338.600000;1480.000000
1;0;1;1;0;0;128;2;256;8.3.0;46183.800000;1510.600000
1;0;1;1;0;0;256;2;256;8.3.0;46407.800000;1479.400000
1;0;1;1;0;0;64;8;256;8.3.0;45922.800000;1476.200000
1;0;1;1;0;0;128;8;256;8.3.0;46214.600000;1498.000000
1;0;1;1;0;0;256;8;256;8.3.0;46092.000000;1452.600000
1;0;1;1;0;0;64;32;256;8.3.0;46144.000000;1468.400000
1;0;1;1;0;0;128;32;256;8.3.0;46144.000000;1489.800000
1;0;1;1;0;0;256;32;256;8.3.0;46640.600000;1501.400000
1;0;1;1;0;0;64;2;1024;8.3.0;46321.600000;1473.200000
1;0;1;1;0;0;128;2;1024;8.3.0;47200.200000;1549.600000
1;0;1;1;0;0;256;2;1024;8.3.0;46191.400000;1486.600000
1;0;1;1;0;0;64;8;1024;8.3.0;46317.800000;1505.400000
1;0;1;1;0;0;128;8;1024;8.3.0;46539.200000;1485.200000
1;0;1;1;0;0;256;8;1024;8.3.0;47095.600000;1550.400000
1;0;1;1;0;0;64;32;1024;8.3.0;46145.000000;1459.400000
1;0;1;1;0;0;128;32;1024;8.3.0;46311.200000;1473.600000
1;0;1;1;0;0;256;32;1024;8.3.0;46047.400000;1495.400000
1;0;1;1;0;0;64;2;4096;8.3.0;46357.800000;1469.400000
1;0;1;1;0;0;128;2;4096;8.3.0;46235.800000;1468.600000
1;0;1;1;0;0;256;2;4096;8.3.0;46427.000000;1479.000000
1;0;1;1;0;0;64;8;4096;8.3.0;46121.600000;1503.600000
1;0;1;1;0;0;128;8;4096;8.3.0;46157.600000;1468.800000
1;0;1;1;0;0;256;8;4096;8.3.0;46382.800000;1467.200000
1;0;1;1;0;0;64;32;4096;8.3.0;46715.400000;1493.600000
1;0;1;1;0;0;128;32;4096;8.3.0;46145.800000;1494.400000
1;0;1;1;0;0;256;32;4096;8.3.0;46191.200000;1462.400000
1;0;1;1;0;1;64;2;256;8.3.0;46194.400000;1487.200000
1;0;1;1;0;1;128;2;256;8.3.0;46285.600000;1485.600000
1;0;1;1;0;1;256;2;256;8.3.0;46083.600000;1502.400000
1;0;1;1;0;1;64;8;256;8.3.0;46219.000000;1462.600000
1;0;1;1;0;1;128;8;256;8.3.0;46212.400000;1464.200000
1;0;1;1;0;1;256;8;256;8.3.0;47092.000000;1530.400000
1;0;1;1;0;1;64;32;256;8.3.0;46325.800000;1480.200000
1;0;1;1;0;1;128;32;256;8.3.0;46129.800000;1486.600000
